plate.no,s1,s2,s1.rate,s2.rate,s1.win,s1.loss,draw,s1.initial.mm,s2.initial.mm,s1.cbh,s2.cbh,s1.phos,s2.phos,s1.nag,s2.nag,s1.lap,s2.lap,s1.bg,s2.bg,s1.perox1,s1.phenox,s1.perox2,s2.perox1,s2.phenox,s2.perox2,s1.density,s2.density,s2.decomp,s1.decomp
164,l.gilb.s,t.chion.n,4.14,3.88,0,1,0,10,17,0.0953101798,0.9162907319,2.2721258855,0.5877866649,2.8564702062,3.8649313979,-1.2039728043,-9.210340372,0.7419373447,2.701361213,-9.210340372,-9.210340372,3.3649136846,-9.210340372,-9.210340372,-0.2613647641,0.12,0.06,17.29304279,6.846026509
165,l.huron.n,m.trem.n,3.39,10.62,0,1,0,3,24,0.2623642645,0.1823215568,3.0540011817,2.3978952728,2.1400661635,1.1314021115,-0.6931471806,-9.210340372,0.5877866649,0.7419373447,-9.210340372,-4.1997050779,-9.210340372,-9.210340372,-0.3112919381,2.6779345772,0.41,0.08,27.56421068,6.034048275
166,l.huron.n,m.trem.s,3.39,9.62,0,1,0,3,24,0.2623642645,0.2623642645,3.0540011817,0.7419373447,2.1400661635,1.064710737,-0.6931471806,-9.210340372,0.5877866649,0.6931471806,-9.210340372,-4.1997050779,-9.210340372,-9.210340372,0.8754687374,0.4001175018,0.41,0.02,16.00854975,6.034048275
168,l.huron.n,p.flav.n,3.39,8.04,0,0,1,7,20,0.2623642645,0.2623642645,3.0540011817,0.6931471806,2.1400661635,0.6931471806,-0.6931471806,-1.6094379124,0.5877866649,0.7884573604,-9.210340372,-4.1997050779,-9.210340372,-9.210340372,0.089840704,-9.210340372,0.41,0.05,22.53629806,6.034048275
169,l.huron.n,p.flav.s,3.39,10.8,0,1,0,5,22,0.2623642645,0.4054651081,3.0540011817,1.0986122887,2.1400661635,1.064710737,-0.6931471806,-2.302585093,0.5877866649,0.7884573604,-9.210340372,-4.1997050779,-9.210340372,-9.210340372,0.0639133257,-9.210340372,0.41,0.04,8.960764336,6.034048275
170,l.huron.n,p.gilv.n,3.39,4.04,0,0,1,10,17,0.2623642645,0.1823215568,3.0540011817,1.2237754316,2.1400661635,1.1939224685,-0.6931471806,-1.2039728043,0.5877866649,0.7884573604,-9.210340372,-4.1997050779,-9.210340372,-1.3903023825,-1.1809075314,2.6712133111,0.41,0.03,19.83733882,6.034048275
171,l.huron.n,p.har.n,3.39,1.54,0,0,1,0,0,0.2623642645,0.6418538862,3.0540011817,2.6672282066,2.1400661635,1.6486586256,-0.6931471806,-0.1053605157,0.5877866649,0.9162907319,-9.210340372,-4.1997050779,-9.210340372,0.3311006928,-2.0249533564,0.818677903,0.41,1.8,13.01803729,6.034048275
172,l.huron.n,p.pend.n,3.39,4.06,0,0,1,6,21,0.2623642645,0.0953101798,3.0540011817,2.8332133441,2.1400661635,2.8622008809,-0.6931471806,-9.210340372,0.5877866649,1.064710737,-9.210340372,-4.1997050779,-9.210340372,-9.210340372,-2.009915479,3.4857529679,0.41,0.32,1.276821072,6.034048275
173,l.huron.n,p.robin.n,3.39,2.3,0,0,1,0,0,0.2623642645,0.2623642645,3.0540011817,2.6810215287,2.1400661635,2.0668627595,-0.6931471806,-9.210340372,0.5877866649,0.5877866649,-9.210340372,-4.1997050779,-9.210340372,-0.3181412799,-0.8928183757,3.4574516832,0.41,0.07,4.286605861,6.034048275
174,l.huron.n,p.rufa.acer.n,3.39,8.75,0,1,0,5,22,0.2623642645,0.0953101798,3.0540011817,1.064710737,2.1400661635,0.3364722366,-0.6931471806,-9.210340372,0.5877866649,-0.5108256238,-9.210340372,-4.1997050779,-9.210340372,-2.6882475738,-0.7486598905,3.4752529715,0.41,0.14,22.35752392,6.034048275
175,l.huron.n,p.rufa.acer.s,3.39,8.51,0,1,0,8,19,0.2623642645,0.0953101798,3.0540011817,-0.1053605157,2.1400661635,0.6418538862,-0.6931471806,-9.210340372,0.5877866649,0.4700036292,-9.210340372,-4.1997050779,-9.210340372,-9.210340372,-2.6172958378,2.761590968,0.41,0.27,18.86224753,6.034048275
176,l.huron.n,p.sang.s,3.39,4.97,0,0,1,4,23,0.2623642645,0,3.0540011817,0.3364722366,2.1400661635,0.1823215568,-0.6931471806,-9.210340372,0.5877866649,0.6418538862,-9.210340372,-4.1997050779,-9.210340372,-1.6873994539,-1.9696906777,2.784270227,0.41,0.02,18.52482836,6.034048275
178,l.huron.n,s.comm.n,3.39,4.41,0,0,1,8,19,0.2623642645,0,3.0540011817,2.6602595373,2.1400661635,3.3603753871,-0.6931471806,-9.210340372,0.5877866649,1.7227665977,-9.210340372,-4.1997050779,-9.210340372,-9.210340372,-9.210340372,-9.210340372,0.41,0.53,2.202539947,6.034048275
179,l.huron.n,s.comm.s,3.39,2.57,0,0,1,24,3,0.2623642645,0.3364722366,3.0540011817,2.8273136219,2.1400661635,1.5040773968,-0.6931471806,-2.302585093,0.5877866649,1.9169226122,-9.210340372,-4.1997050779,-9.210340372,-9.210340372,-9.210340372,-9.210340372,0.41,0.59,3.336405008,6.034048275
180,l.huron.n,t.chion.n,3.39,3.88,0,1,0,6,21,0.2623642645,0.9162907319,3.0540011817,0.5877866649,2.1400661635,3.8649313979,-0.6931471806,-9.210340372,0.5877866649,2.701361213,-9.210340372,-4.1997050779,-9.210340372,-9.210340372,-9.210340372,-0.2613647641,0.41,0.06,17.29304279,6.034048275
183,m.trem.n,p.flav.n,10.62,8.04,1,0,0,19,8,0.1823215568,0.2623642645,2.3978952728,0.6931471806,1.1314021115,0.6931471806,-9.210340372,-1.6094379124,0.7419373447,0.7884573604,-9.210340372,-0.3112919381,2.6779345772,-9.210340372,0.089840704,-9.210340372,0.08,0.05,22.53629806,27.56421068
184,m.trem.n,p.flav.s,10.62,10.8,0,0,1,18,9,0.1823215568,0.4054651081,2.3978952728,1.0986122887,1.1314021115,1.064710737,-9.210340372,-2.302585093,0.7419373447,0.7884573604,-9.210340372,-0.3112919381,2.6779345772,-9.210340372,0.0639133257,-9.210340372,0.08,0.04,8.960764336,27.56421068
185,m.trem.n,p.gilv.n,10.62,4.04,0,0,1,18,9,0.1823215568,0.1823215568,2.3978952728,1.2237754316,1.1314021115,1.1939224685,-9.210340372,-1.2039728043,0.7419373447,0.7884573604,-9.210340372,-0.3112919381,2.6779345772,-1.3903023825,-1.1809075314,2.6712133111,0.08,0.03,19.83733882,27.56421068
186,m.trem.n,p.har.n,10.62,1.54,0,0,1,17,10,0.1823215568,0.6418538862,2.3978952728,2.6672282066,1.1314021115,1.6486586256,-9.210340372,-0.1053605157,0.7419373447,0.9162907319,-9.210340372,-0.3112919381,2.6779345772,0.3311006928,-2.0249533564,0.818677903,0.08,1.8,13.01803729,27.56421068
187,m.trem.n,p.pend.n,10.62,4.06,0,0,1,17,10,0.1823215568,0.0953101798,2.3978952728,2.8332133441,1.1314021115,2.8622008809,-9.210340372,-9.210340372,0.7419373447,1.064710737,-9.210340372,-0.3112919381,2.6779345772,-9.210340372,-2.009915479,3.4857529679,0.08,0.32,1.276821072,27.56421068
188,m.trem.n,p.robin.n,10.62,2.3,0,0,1,18,9,0.1823215568,0.2623642645,2.3978952728,2.6810215287,1.1314021115,2.0668627595,-9.210340372,-9.210340372,0.7419373447,0.5877866649,-9.210340372,-0.3112919381,2.6779345772,-0.3181412799,-0.8928183757,3.4574516832,0.08,0.07,4.286605861,27.56421068
189,m.trem.n,p.rufa.acer.n,10.62,8.75,0,0,1,10,17,0.1823215568,0.0953101798,2.3978952728,1.064710737,1.1314021115,0.3364722366,-9.210340372,-9.210340372,0.7419373447,-0.5108256238,-9.210340372,-0.3112919381,2.6779345772,-2.6882475738,-0.7486598905,3.4752529715,0.08,0.14,22.35752392,27.56421068
190,m.trem.n,p.rufa.acer.s,10.62,8.51,0,0,1,16,11,0.1823215568,0.0953101798,2.3978952728,-0.1053605157,1.1314021115,0.6418538862,-9.210340372,-9.210340372,0.7419373447,0.4700036292,-9.210340372,-0.3112919381,2.6779345772,-9.210340372,-2.6172958378,2.761590968,0.08,0.27,18.86224753,27.56421068
191,m.trem.n,p.sang.s,10.62,4.97,0,0,1,17,10,0.1823215568,0,2.3978952728,0.3364722366,1.1314021115,0.1823215568,-9.210340372,-9.210340372,0.7419373447,0.6418538862,-9.210340372,-0.3112919381,2.6779345772,-1.6873994539,-1.9696906777,2.784270227,0.08,0.02,18.52482836,27.56421068
193,m.trem.n,s.comm.n,10.62,4.41,0,1,0,15,12,0.1823215568,0,2.3978952728,2.6602595373,1.1314021115,3.3603753871,-9.210340372,-9.210340372,0.7419373447,1.7227665977,-9.210340372,-0.3112919381,2.6779345772,-9.210340372,-9.210340372,-9.210340372,0.08,0.53,2.202539947,27.56421068
194,m.trem.n,s.comm.s,10.62,2.57,0,0,1,21,6,0.1823215568,0.3364722366,2.3978952728,2.8273136219,1.1314021115,1.5040773968,-9.210340372,-2.302585093,0.7419373447,1.9169226122,-9.210340372,-0.3112919381,2.6779345772,-9.210340372,-9.210340372,-9.210340372,0.08,0.59,3.336405008,27.56421068
195,m.trem.n,t.chion.n,10.62,3.88,0,0,1,12,15,0.1823215568,0.9162907319,2.3978952728,0.5877866649,1.1314021115,3.8649313979,-9.210340372,-9.210340372,0.7419373447,2.701361213,-9.210340372,-0.3112919381,2.6779345772,-9.210340372,-9.210340372,-0.2613647641,0.08,0.06,17.29304279,27.56421068
197,m.trem.s,p.flav.n,9.62,8.04,1,0,0,17,10,0.2623642645,0.2623642645,0.7419373447,0.6931471806,1.064710737,0.6931471806,-9.210340372,-1.6094379124,0.6931471806,0.7884573604,-9.210340372,0.8754687374,0.4001175018,-9.210340372,0.089840704,-9.210340372,0.02,0.05,22.53629806,16.00854975
198,m.trem.s,p.flav.s,9.62,10.8,0,0,1,17,10,0.2623642645,0.4054651081,0.7419373447,1.0986122887,1.064710737,1.064710737,-9.210340372,-2.302585093,0.6931471806,0.7884573604,-9.210340372,0.8754687374,0.4001175018,-9.210340372,0.0639133257,-9.210340372,0.02,0.04,8.960764336,16.00854975
199,m.trem.s,p.gilv.n,9.62,4.04,0,0,1,16,11,0.2623642645,0.1823215568,0.7419373447,1.2237754316,1.064710737,1.1939224685,-9.210340372,-1.2039728043,0.6931471806,0.7884573604,-9.210340372,0.8754687374,0.4001175018,-1.3903023825,-1.1809075314,2.6712133111,0.02,0.03,19.83733882,16.00854975
200,m.trem.s,p.har.n,9.62,1.54,1,0,0,17,10,0.2623642645,0.6418538862,0.7419373447,2.6672282066,1.064710737,1.6486586256,-9.210340372,-0.1053605157,0.6931471806,0.9162907319,-9.210340372,0.8754687374,0.4001175018,0.3311006928,-2.0249533564,0.818677903,0.02,1.8,13.01803729,16.00854975
201,m.trem.s,p.pend.n,9.62,4.06,0,0,1,18,9,0.2623642645,0.0953101798,0.7419373447,2.8332133441,1.064710737,2.8622008809,-9.210340372,-9.210340372,0.6931471806,1.064710737,-9.210340372,0.8754687374,0.4001175018,-9.210340372,-2.009915479,3.4857529679,0.02,0.32,1.276821072,16.00854975
202,m.trem.s,p.robin.n,9.62,2.3,0,0,1,19,8,0.2623642645,0.2623642645,0.7419373447,2.6810215287,1.064710737,2.0668627595,-9.210340372,-9.210340372,0.6931471806,0.5877866649,-9.210340372,0.8754687374,0.4001175018,-0.3181412799,-0.8928183757,3.4574516832,0.02,0.07,4.286605861,16.00854975
203,m.trem.s,p.rufa.acer.n,9.62,8.75,0,0,1,16,11,0.2623642645,0.0953101798,0.7419373447,1.064710737,1.064710737,0.3364722366,-9.210340372,-9.210340372,0.6931471806,-0.5108256238,-9.210340372,0.8754687374,0.4001175018,-2.6882475738,-0.7486598905,3.4752529715,0.02,0.14,22.35752392,16.00854975
204,m.trem.s,p.rufa.acer.s,9.62,8.51,0,1,0,17,10,0.2623642645,0.0953101798,0.7419373447,-0.1053605157,1.064710737,0.6418538862,-9.210340372,-9.210340372,0.6931471806,0.4700036292,-9.210340372,0.8754687374,0.4001175018,-9.210340372,-2.6172958378,2.761590968,0.02,0.27,18.86224753,16.00854975
205,m.trem.s,p.sang.s,9.62,4.97,0,0,1,18,9,0.2623642645,0,0.7419373447,0.3364722366,1.064710737,0.1823215568,-9.210340372,-9.210340372,0.6931471806,0.6418538862,-9.210340372,0.8754687374,0.4001175018,-1.6873994539,-1.9696906777,2.784270227,0.02,0.02,18.52482836,16.00854975
207,m.trem.s,s.comm.n,9.62,4.41,1,0,0,17,10,0.2623642645,0,0.7419373447,2.6602595373,1.064710737,3.3603753871,-9.210340372,-9.210340372,0.6931471806,1.7227665977,-9.210340372,0.8754687374,0.4001175018,-9.210340372,-9.210340372,-9.210340372,0.02,0.53,2.202539947,16.00854975
208,m.trem.s,s.comm.s,9.62,2.57,0,1,0,21,6,0.2623642645,0.3364722366,0.7419373447,2.8273136219,1.064710737,1.5040773968,-9.210340372,-2.302585093,0.6931471806,1.9169226122,-9.210340372,0.8754687374,0.4001175018,-9.210340372,-9.210340372,-9.210340372,0.02,0.59,3.336405008,16.00854975
209,m.trem.s,t.chion.n,9.62,3.88,0,0,1,15,12,0.2623642645,0.9162907319,0.7419373447,0.5877866649,1.064710737,3.8649313979,-9.210340372,-9.210340372,0.6931471806,2.701361213,-9.210340372,0.8754687374,0.4001175018,-9.210340372,-9.210340372,-0.2613647641,0.02,0.06,17.29304279,16.00854975
224,p.flav.n,p.gilv.n,8.04,4.04,0,0,1,13,14,0.2623642645,0.1823215568,0.6931471806,1.2237754316,0.6931471806,1.1939224685,-1.6094379124,-1.2039728043,0.7884573604,0.7884573604,-9.210340372,0.089840704,-9.210340372,-1.3903023825,-1.1809075314,2.6712133111,0.05,0.03,19.83733882,22.53629806
225,p.flav.n,p.har.n,8.04,1.54,0,0,1,14,13,0.2623642645,0.6418538862,0.6931471806,2.6672282066,0.6931471806,1.6486586256,-1.6094379124,-0.1053605157,0.7884573604,0.9162907319,-9.210340372,0.089840704,-9.210340372,0.3311006928,-2.0249533564,0.818677903,0.05,1.8,13.01803729,22.53629806
226,p.flav.n,p.pend.n,8.04,4.06,0,0,1,13,14,0.2623642645,0.0953101798,0.6931471806,2.8332133441,0.6931471806,2.8622008809,-1.6094379124,-9.210340372,0.7884573604,1.064710737,-9.210340372,0.089840704,-9.210340372,-9.210340372,-2.009915479,3.4857529679,0.05,0.32,1.276821072,22.53629806
227,p.flav.n,p.robin.n,8.04,2.3,0,0,1,18,9,0.2623642645,0.2623642645,0.6931471806,2.6810215287,0.6931471806,2.0668627595,-1.6094379124,-9.210340372,0.7884573604,0.5877866649,-9.210340372,0.089840704,-9.210340372,-0.3181412799,-0.8928183757,3.4574516832,0.05,0.07,4.286605861,22.53629806
228,p.flav.n,p.rufa.acer.n,8.04,8.75,0,1,0,12,15,0.2623642645,0.0953101798,0.6931471806,1.064710737,0.6931471806,0.3364722366,-1.6094379124,-9.210340372,0.7884573604,-0.5108256238,-9.210340372,0.089840704,-9.210340372,-2.6882475738,-0.7486598905,3.4752529715,0.05,0.14,22.35752392,22.53629806
229,p.flav.n,p.rufa.acer.s,8.04,8.51,0,1,0,15,12,0.2623642645,0.0953101798,0.6931471806,-0.1053605157,0.6931471806,0.6418538862,-1.6094379124,-9.210340372,0.7884573604,0.4700036292,-9.210340372,0.089840704,-9.210340372,-9.210340372,-2.6172958378,2.761590968,0.05,0.27,18.86224753,22.53629806
230,p.flav.n,p.sang.s,8.04,4.97,0,0,1,10,17,0.2623642645,0,0.6931471806,0.3364722366,0.6931471806,0.1823215568,-1.6094379124,-9.210340372,0.7884573604,0.6418538862,-9.210340372,0.089840704,-9.210340372,-1.6873994539,-1.9696906777,2.784270227,0.05,0.02,18.52482836,22.53629806
232,p.flav.n,s.comm.n,8.04,4.41,0,0,1,12,15,0.2623642645,0,0.6931471806,2.6602595373,0.6931471806,3.3603753871,-1.6094379124,-9.210340372,0.7884573604,1.7227665977,-9.210340372,0.089840704,-9.210340372,-9.210340372,-9.210340372,-9.210340372,0.05,0.53,2.202539947,22.53629806
233,p.flav.n,s.comm.s,8.04,2.57,0,0,1,16,11,0.2623642645,0.3364722366,0.6931471806,2.8273136219,0.6931471806,1.5040773968,-1.6094379124,-2.302585093,0.7884573604,1.9169226122,-9.210340372,0.089840704,-9.210340372,-9.210340372,-9.210340372,-9.210340372,0.05,0.59,3.336405008,22.53629806
234,p.flav.n,t.chion.n,8.04,3.88,0,1,0,12,15,0.2623642645,0.9162907319,0.6931471806,0.5877866649,0.6931471806,3.8649313979,-1.6094379124,-9.210340372,0.7884573604,2.701361213,-9.210340372,0.089840704,-9.210340372,-9.210340372,-9.210340372,-0.2613647641,0.05,0.06,17.29304279,22.53629806
235,p.flav.s,p.gilv.n,10.8,4.04,0,0,1,19,8,0.4054651081,0.1823215568,1.0986122887,1.2237754316,1.064710737,1.1939224685,-2.302585093,-1.2039728043,0.7884573604,0.7884573604,-9.210340372,0.0639133257,-9.210340372,-1.3903023825,-1.1809075314,2.6712133111,0.04,0.03,19.83733882,8.960764336
236,p.flav.s,p.har.n,10.8,1.54,0,0,1,20,7,0.4054651081,0.6418538862,1.0986122887,2.6672282066,1.064710737,1.6486586256,-2.302585093,-0.1053605157,0.7884573604,0.9162907319,-9.210340372,0.0639133257,-9.210340372,0.3311006928,-2.0249533564,0.818677903,0.04,1.8,13.01803729,8.960764336
237,p.flav.s,p.pend.n,10.8,4.06,1,0,0,19,8,0.4054651081,0.0953101798,1.0986122887,2.8332133441,1.064710737,2.8622008809,-2.302585093,-9.210340372,0.7884573604,1.064710737,-9.210340372,0.0639133257,-9.210340372,-9.210340372,-2.009915479,3.4857529679,0.04,0.32,1.276821072,8.960764336
238,p.flav.s,p.robin.n,10.8,2.3,1,0,0,18,9,0.4054651081,0.2623642645,1.0986122887,2.6810215287,1.064710737,2.0668627595,-2.302585093,-9.210340372,0.7884573604,0.5877866649,-9.210340372,0.0639133257,-9.210340372,-0.3181412799,-0.8928183757,3.4574516832,0.04,0.07,4.286605861,8.960764336
239,p.flav.s,p.rufa.acer.n,10.8,8.75,1,0,0,13,14,0.4054651081,0.0953101798,1.0986122887,1.064710737,1.064710737,0.3364722366,-2.302585093,-9.210340372,0.7884573604,-0.5108256238,-9.210340372,0.0639133257,-9.210340372,-2.6882475738,-0.7486598905,3.4752529715,0.04,0.14,22.35752392,8.960764336
240,p.flav.s,p.rufa.acer.s,10.8,8.51,1,0,0,17,10,0.4054651081,0.0953101798,1.0986122887,-0.1053605157,1.064710737,0.6418538862,-2.302585093,-9.210340372,0.7884573604,0.4700036292,-9.210340372,0.0639133257,-9.210340372,-9.210340372,-2.6172958378,2.761590968,0.04,0.27,18.86224753,8.960764336
241,p.flav.s,p.sang.s,10.8,4.97,0,0,1,14,13,0.4054651081,0,1.0986122887,0.3364722366,1.064710737,0.1823215568,-2.302585093,-9.210340372,0.7884573604,0.6418538862,-9.210340372,0.0639133257,-9.210340372,-1.6873994539,-1.9696906777,2.784270227,0.04,0.02,18.52482836,8.960764336
243,p.flav.s,s.comm.n,10.8,4.41,0,0,1,14,13,0.4054651081,0,1.0986122887,2.6602595373,1.064710737,3.3603753871,-2.302585093,-9.210340372,0.7884573604,1.7227665977,-9.210340372,0.0639133257,-9.210340372,-9.210340372,-9.210340372,-9.210340372,0.04,0.53,2.202539947,8.960764336
244,p.flav.s,s.comm.s,10.8,2.57,1,0,0,19,8,0.4054651081,0.3364722366,1.0986122887,2.8273136219,1.064710737,1.5040773968,-2.302585093,-2.302585093,0.7884573604,1.9169226122,-9.210340372,0.0639133257,-9.210340372,-9.210340372,-9.210340372,-9.210340372,0.04,0.59,3.336405008,8.960764336
245,p.flav.s,t.chion.n,10.8,3.88,0,0,1,13,14,0.4054651081,0.9162907319,1.0986122887,0.5877866649,1.064710737,3.8649313979,-2.302585093,-9.210340372,0.7884573604,2.701361213,-9.210340372,0.0639133257,-9.210340372,-9.210340372,-9.210340372,-0.2613647641,0.04,0.06,17.29304279,8.960764336
246,p.gilv.n,p.har.n,4.04,1.54,0,0,1,0,0,0.1823215568,0.6418538862,1.2237754316,2.6672282066,1.1939224685,1.6486586256,-1.2039728043,-0.1053605157,0.7884573604,0.9162907319,-1.3903023825,-1.1809075314,2.6712133111,0.3311006928,-2.0249533564,0.818677903,0.03,1.8,13.01803729,19.83733882
247,p.gilv.n,p.pend.n,4.04,4.06,0,0,1,14,13,0.1823215568,0.0953101798,1.2237754316,2.8332133441,1.1939224685,2.8622008809,-1.2039728043,-9.210340372,0.7884573604,1.064710737,-1.3903023825,-1.1809075314,2.6712133111,-9.210340372,-2.009915479,3.4857529679,0.03,0.32,1.276821072,19.83733882
248,p.gilv.n,p.robin.n,4.04,2.3,0,0,1,0,0,0.1823215568,0.2623642645,1.2237754316,2.6810215287,1.1939224685,2.0668627595,-1.2039728043,-9.210340372,0.7884573604,0.5877866649,-1.3903023825,-1.1809075314,2.6712133111,-0.3181412799,-0.8928183757,3.4574516832,0.03,0.07,4.286605861,19.83733882
249,p.gilv.n,p.rufa.acer.n,4.04,8.75,0,1,0,11,16,0.1823215568,0.0953101798,1.2237754316,1.064710737,1.1939224685,0.3364722366,-1.2039728043,-9.210340372,0.7884573604,-0.5108256238,-1.3903023825,-1.1809075314,2.6712133111,-2.6882475738,-0.7486598905,3.4752529715,0.03,0.14,22.35752392,19.83733882
250,p.gilv.n,p.rufa.acer.s,4.04,8.51,0,1,0,10,17,0.1823215568,0.0953101798,1.2237754316,-0.1053605157,1.1939224685,0.6418538862,-1.2039728043,-9.210340372,0.7884573604,0.4700036292,-1.3903023825,-1.1809075314,2.6712133111,-9.210340372,-2.6172958378,2.761590968,0.03,0.27,18.86224753,19.83733882
251,p.gilv.n,p.sang.s,4.04,4.97,0,1,0,10,17,0.1823215568,0,1.2237754316,0.3364722366,1.1939224685,0.1823215568,-1.2039728043,-9.210340372,0.7884573604,0.6418538862,-1.3903023825,-1.1809075314,2.6712133111,-1.6873994539,-1.9696906777,2.784270227,0.03,0.02,18.52482836,19.83733882
253,p.gilv.n,s.comm.n,4.04,4.41,0,0,1,12,15,0.1823215568,0,1.2237754316,2.6602595373,1.1939224685,3.3603753871,-1.2039728043,-9.210340372,0.7884573604,1.7227665977,-1.3903023825,-1.1809075314,2.6712133111,-9.210340372,-9.210340372,-9.210340372,0.03,0.53,2.202539947,19.83733882
254,p.gilv.n,s.comm.s,4.04,2.57,0,0,1,13,14,0.1823215568,0.3364722366,1.2237754316,2.8273136219,1.1939224685,1.5040773968,-1.2039728043,-2.302585093,0.7884573604,1.9169226122,-1.3903023825,-1.1809075314,2.6712133111,-9.210340372,-9.210340372,-9.210340372,0.03,0.59,3.336405008,19.83733882
255,p.gilv.n,t.chion.n,4.04,3.88,0,0,1,11,16,0.1823215568,0.9162907319,1.2237754316,0.5877866649,1.1939224685,3.8649313979,-1.2039728043,-9.210340372,0.7884573604,2.701361213,-1.3903023825,-1.1809075314,2.6712133111,-9.210340372,-9.210340372,-0.2613647641,0.03,0.06,17.29304279,19.83733882
256,p.har.n,p.pend.n,1.54,4.06,0,0,1,0,0,0.6418538862,0.0953101798,2.6672282066,2.8332133441,1.6486586256,2.8622008809,-0.1053605157,-9.210340372,0.9162907319,1.064710737,0.3311006928,-2.0249533564,0.818677903,-9.210340372,-2.009915479,3.4857529679,1.8,0.32,1.276821072,13.01803729
257,p.har.n,p.robin.n,1.54,2.3,0,0,1,0,0,0.6418538862,0.2623642645,2.6672282066,2.6810215287,1.6486586256,2.0668627595,-0.1053605157,-9.210340372,0.9162907319,0.5877866649,0.3311006928,-2.0249533564,0.818677903,-0.3181412799,-0.8928183757,3.4574516832,1.8,0.07,4.286605861,13.01803729
258,p.har.n,p.rufa.acer.n,1.54,8.75,0,1,0,10,17,0.6418538862,0.0953101798,2.6672282066,1.064710737,1.6486586256,0.3364722366,-0.1053605157,-9.210340372,0.9162907319,-0.5108256238,0.3311006928,-2.0249533564,0.818677903,-2.6882475738,-0.7486598905,3.4752529715,1.8,0.14,22.35752392,13.01803729
259,p.har.n,p.rufa.acer.s,1.54,8.51,0,1,0,9,18,0.6418538862,0.0953101798,2.6672282066,-0.1053605157,1.6486586256,0.6418538862,-0.1053605157,-9.210340372,0.9162907319,0.4700036292,0.3311006928,-2.0249533564,0.818677903,-9.210340372,-2.6172958378,2.761590968,1.8,0.27,18.86224753,13.01803729
260,p.har.n,p.sang.s,1.54,4.97,0,0,1,0,0,0.6418538862,0,2.6672282066,0.3364722366,1.6486586256,0.1823215568,-0.1053605157,-9.210340372,0.9162907319,0.6418538862,0.3311006928,-2.0249533564,0.818677903,-1.6873994539,-1.9696906777,2.784270227,1.8,0.02,18.52482836,13.01803729
262,p.har.n,s.comm.n,1.54,4.41,0,0,1,10,17,0.6418538862,0,2.6672282066,2.6602595373,1.6486586256,3.3603753871,-0.1053605157,-9.210340372,0.9162907319,1.7227665977,0.3311006928,-2.0249533564,0.818677903,-9.210340372,-9.210340372,-9.210340372,1.8,0.53,2.202539947,13.01803729
263,p.har.n,s.comm.s,1.54,2.57,0,0,1,10,17,0.6418538862,0.3364722366,2.6672282066,2.8273136219,1.6486586256,1.5040773968,-0.1053605157,-2.302585093,0.9162907319,1.9169226122,0.3311006928,-2.0249533564,0.818677903,-9.210340372,-9.210340372,-9.210340372,1.8,0.59,3.336405008,13.01803729
264,p.har.n,t.chion.n,1.54,3.88,0,0,1,10,17,0.6418538862,0.9162907319,2.6672282066,0.5877866649,1.6486586256,3.8649313979,-0.1053605157,-9.210340372,0.9162907319,2.701361213,0.3311006928,-2.0249533564,0.818677903,-9.210340372,-9.210340372,-0.2613647641,1.8,0.06,17.29304279,13.01803729
265,p.pend.n,p.robin.n,4.06,2.3,0,0,1,15,12,0.0953101798,0.2623642645,2.8332133441,2.6810215287,2.8622008809,2.0668627595,-9.210340372,-9.210340372,1.064710737,0.5877866649,-9.210340372,-2.009915479,3.4857529679,-0.3181412799,-0.8928183757,3.4574516832,0.32,0.07,4.286605861,1.276821072
266,p.pend.n,p.rufa.acer.n,4.06,8.75,0,1,0,13,14,0.0953101798,0.0953101798,2.8332133441,1.064710737,2.8622008809,0.3364722366,-9.210340372,-9.210340372,1.064710737,-0.5108256238,-9.210340372,-2.009915479,3.4857529679,-2.6882475738,-0.7486598905,3.4752529715,0.32,0.14,22.35752392,1.276821072
267,p.pend.n,p.rufa.acer.s,4.06,8.51,0,1,0,13,14,0.0953101798,0.0953101798,2.8332133441,-0.1053605157,2.8622008809,0.6418538862,-9.210340372,-9.210340372,1.064710737,0.4700036292,-9.210340372,-2.009915479,3.4857529679,-9.210340372,-2.6172958378,2.761590968,0.32,0.27,18.86224753,1.276821072
268,p.pend.n,p.sang.s,4.06,4.97,0,0,1,10,17,0.0953101798,0,2.8332133441,0.3364722366,2.8622008809,0.1823215568,-9.210340372,-9.210340372,1.064710737,0.6418538862,-9.210340372,-2.009915479,3.4857529679,-1.6873994539,-1.9696906777,2.784270227,0.32,0.02,18.52482836,1.276821072
270,p.pend.n,s.comm.n,4.06,4.41,0,0,1,11,16,0.0953101798,0,2.8332133441,2.6602595373,2.8622008809,3.3603753871,-9.210340372,-9.210340372,1.064710737,1.7227665977,-9.210340372,-2.009915479,3.4857529679,-9.210340372,-9.210340372,-9.210340372,0.32,0.53,2.202539947,1.276821072
271,p.pend.n,s.comm.s,4.06,2.57,0,0,1,12,15,0.0953101798,0.3364722366,2.8332133441,2.8273136219,2.8622008809,1.5040773968,-9.210340372,-2.302585093,1.064710737,1.9169226122,-9.210340372,-2.009915479,3.4857529679,-9.210340372,-9.210340372,-9.210340372,0.32,0.59,3.336405008,1.276821072
